,rxns,subsystems
0,MAR03905,Glycolysis / Gluconeogenesis
1,MAR03907,Glycolysis / Gluconeogenesis
2,MAR04097,Glycolysis / Gluconeogenesis
3,MAR04099,Glycolysis / Gluconeogenesis
4,MAR04108,Glycolysis / Gluconeogenesis
5,MAR04133,Glycolysis / Gluconeogenesis
6,MAR04137,Glycolysis / Gluconeogenesis
7,MAR04281,Glycolysis / Gluconeogenesis
8,MAR04388,Glycolysis / Gluconeogenesis
9,MAR04283,Glycolysis / Gluconeogenesis
10,MAR08357,Glycolysis / Gluconeogenesis
11,MAR04379,Glycolysis / Gluconeogenesis
12,MAR04301,Glycolysis / Gluconeogenesis
13,MAR04355,Glycolysis / Gluconeogenesis
14,MAR04358,Glycolysis / Gluconeogenesis
15,MAR04360,Glycolysis / Gluconeogenesis
16,MAR04363,Glycolysis / Gluconeogenesis
17,MAR04365,Glycolysis / Gluconeogenesis
18,MAR04368,Glycolysis / Gluconeogenesis
19,MAR04370,Glycolysis / Gluconeogenesis
20,MAR04371,Glycolysis / Gluconeogenesis
21,MAR04372,Glycolysis / Gluconeogenesis
22,MAR04373,Glycolysis / Gluconeogenesis
23,MAR04375,Glycolysis / Gluconeogenesis
24,MAR04377,Glycolysis / Gluconeogenesis
25,MAR04381,Glycolysis / Gluconeogenesis
26,MAR04391,Glycolysis / Gluconeogenesis
27,MAR04394,Glycolysis / Gluconeogenesis
28,MAR04396,Glycolysis / Gluconeogenesis
29,MAR04521,Glycolysis / Gluconeogenesis
30,MAR06410,Glycolysis / Gluconeogenesis
31,MAR06412,Glycolysis / Gluconeogenesis
32,MAR07745,Glycolysis / Gluconeogenesis
33,MAR07747,Glycolysis / Gluconeogenesis
34,MAR08360,Glycolysis / Gluconeogenesis
35,MAR08652,Glycolysis / Gluconeogenesis
36,MAR08757,Glycolysis / Gluconeogenesis
37,MAR03989,Starch and sucrose metabolism
38,MAR04122,Starch and sucrose metabolism
39,MAR04837,Starch and sucrose metabolism
40,MAR05395,Starch and sucrose metabolism
41,MAR05396,Starch and sucrose metabolism
42,MAR09727,Starch and sucrose metabolism
43,MAR05397,Starch and sucrose metabolism
44,MAR05398,Starch and sucrose metabolism
45,MAR05399,Starch and sucrose metabolism
46,MAR05400,Starch and sucrose metabolism
47,MAR05401,Starch and sucrose metabolism
48,MAR08568,Starch and sucrose metabolism
49,MAR08569,Starch and sucrose metabolism
50,MAR08570,Starch and sucrose metabolism
51,MAR08571,Starch and sucrose metabolism
52,MAR08572,Starch and sucrose metabolism
53,MAR08573,Starch and sucrose metabolism
54,MAR08574,Starch and sucrose metabolism
55,MAR08575,Starch and sucrose metabolism
56,MAR08576,Starch and sucrose metabolism
57,MAR08577,Starch and sucrose metabolism
58,MAR08578,Starch and sucrose metabolism
59,MAR08579,Starch and sucrose metabolism
60,MAR08581,Starch and sucrose metabolism
61,MAR08591,Starch and sucrose metabolism
62,MAR08592,Starch and sucrose metabolism
63,MAR08580,Starch and sucrose metabolism
64,MAR08582,Starch and sucrose metabolism
65,MAR08587,Starch and sucrose metabolism
66,MAR08589,Starch and sucrose metabolism
67,MAR08583,Starch and sucrose metabolism
68,MAR08584,Starch and sucrose metabolism
69,MAR08585,Starch and sucrose metabolism
70,MAR03944,Galactose metabolism
71,MAR04128,Galactose metabolism
72,MAR04130,Galactose metabolism
73,MAR04131,Galactose metabolism
74,MAR04132,Galactose metabolism
75,MAR04303,Galactose metabolism
