,Gene,adipose tissue,adrenal gland,amygdala,appendix,basal ganglia,bone marrow,breast,cerebellum,cerebral cortex,cervix,choroid plexus,colon,duodenum,endometrium,epididymis,esophagus,fallopian tube,gallbladder,heart muscle,hippocampal formation,hypothalamus,kidney,liver,lung,lymph node,midbrain,ovary,pancreas,parathyroid gland,pituitary gland,placenta,prostate,rectum,retina,salivary gland,seminal vesicle,skeletal muscle,skin,small intestine,smooth muscle,spinal cord,spleen,stomach,testis,thymus,thyroid gland,tongue,tonsil,urinary bladder,vagina,Adrenocortical cancer,Bile duct cancer,Bladder cancer,Bone cancer,Brain cancer,Esophageal cancer,Gallbladder cancer,Gastric cancer,Kidney cancer,Leukemia,Myeloma,Neuroblastoma,Non-cancerous,Rhabdoid,Sarcoma,Uncategorized,Uterine cancer,breast cancer,cervical cancer,colorectal cancer,head and neck cancer,liver cancer,lung cancer,lymphoma,ovarian cancer,pancreatic cancer,prostate cancer,skin cancer,testis cancer,thyroid cancer
23,ENSG00000002587,2.5,2.4,1.3,2.6,0.9,2.0,1.8,12.3,1.9,2.4,0.8,2.0,3.6,3.3,1.3,11.3,4.3,12.3,1.8,1.4,1.5,5.8,0.4,1.7,2.3,1.7,30.9,1.0,0.1,4.5,0.7,2.0,1.0,0.9,5.5,1.5,0.3,0.5,2.8,0.8,1.8,3.2,6.3,1.3,1.3,1.6,0.2,1.2,13.9,2.5,0.0,11.6,12.3,1.7,1.8,8.6,19.1,8.0,2.5,0.4,0.3,0.7,1.2,0.5,0.1,1.0,3.9,1.6,3.5,9.2,12.0,0.6,5.4,0.5,4.2,29.8,1.8,1.5,0.2,2.1
24,ENSG00000002726,0.7,0.1,0.0,12.6,0.0,1.9,0.2,0.0,0.4,6.9,0.0,137.6,178.8,2.0,1.9,3.2,0.1,1.7,0.6,0.0,0.0,131.7,5.6,0.6,1.2,0.0,0.1,1.4,0.0,0.0,479.6,5.8,91.2,0.1,0.6,1.0,0.1,1.3,221.1,3.3,0.0,0.5,17.5,2.0,2.0,0.2,0.0,3.7,0.8,0.4,0.1,19.3,1.0,0.3,0.8,1.5,0.8,16.5,0.5,2.6,1.2,0.7,0.3,0.9,0.3,0.1,0.9,4.6,1.0,48.4,2.3,0.6,4.4,0.9,3.0,10.3,1.7,0.6,0.3,8.6
33,ENSG00000003137,25.3,4.2,12.1,1.9,2.8,0.1,14.5,37.3,7.4,4.8,2.0,3.1,3.6,2.4,1.4,3.8,5.4,1.1,8.2,3.6,2.5,8.6,0.9,2.6,4.8,5.5,4.1,0.6,0.8,9.1,3.1,2.6,1.2,4.1,9.6,7.0,5.7,30.4,4.6,1.5,1.3,3.4,1.2,13.4,18.8,14.0,2.2,2.8,3.1,4.1,19.1,6.9,7.4,14.0,8.7,5.3,3.5,5.6,13.1,0.5,0.2,0.8,4.9,38.6,7.0,2.0,5.2,6.4,5.7,2.2,8.5,12.7,8.7,2.1,4.7,5.4,2.1,3.1,1.1,2.3
43,ENSG00000003989,27.7,11.2,3.8,3.4,4.3,0.2,16.7,1.2,7.1,31.4,20.8,6.0,2.3,14.7,17.4,10.9,41.2,10.8,11.8,3.1,1.5,7.7,171.5,7.3,2.7,1.7,81.7,80.5,216.8,6.9,9.5,13.8,4.1,17.0,4.9,6.9,110.4,7.8,4.3,12.9,3.3,3.7,8.1,15.0,3.0,43.7,44.0,3.4,10.1,14.4,1.7,6.8,4.8,10.4,3.0,3.6,0.1,14.8,3.1,3.9,3.1,17.3,8.3,5.8,7.3,24.6,4.9,13.1,8.0,4.3,4.8,16.5,10.8,0.9,17.1,6.0,13.8,10.4,21.6,11.7
49,ENSG00000004468,3.0,2.3,2.8,12.6,7.0,13.4,2.0,0.4,13.8,0.7,0.6,4.3,5.6,0.9,1.2,1.1,2.9,1.8,3.7,3.0,3.1,0.7,3.2,6.1,22.7,4.0,0.4,0.3,0.1,1.7,0.5,12.7,3.4,0.2,2.5,19.0,20.6,0.2,5.2,1.3,1.1,16.5,2.9,0.9,61.7,2.0,3.3,17.5,6.6,0.5,0.0,0.1,0.3,0.2,0.3,0.7,0.1,2.2,0.2,25.9,35.3,0.2,0.2,0.1,0.3,0.1,0.2,0.3,0.0,0.3,1.9,0.2,1.5,43.3,0.2,0.3,0.1,0.2,0.2,0.4
67,ENSG00000004939,0.3,0.1,0.1,0.1,0.1,397.2,0.0,0.5,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.3,0.1,0.1,25.2,1.1,1.0,0.1,0.2,0.0,0.0,0.0,0.3,10.5,0.0,0.0,0.2,0.2,0.0,0.7,0.2,0.0,0.0,0.2,6.9,0.1,0.2,0.7,0.1,1.4,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,15.2,0.1,0.1,0.0,0.1,0.0,0.0,0.2,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1
93,ENSG00000005381,0.5,0.2,0.8,0.2,1.1,3400.6,0.3,0.6,1.5,0.0,0.0,0.2,0.0,0.2,0.2,0.1,0.1,0.0,1.1,0.9,0.9,0.2,1.7,8.1,1.3,1.0,0.1,0.1,0.0,1.5,0.9,0.2,0.1,0.1,10.2,0.0,1.1,3.8,0.2,0.1,0.4,21.2,0.1,0.4,7.2,0.3,0.1,0.1,0.2,0.1,0.0,0.8,0.9,0.8,0.5,1.0,0.7,0.3,0.8,854.7,0.2,0.3,0.5,0.7,1.1,0.0,0.2,0.3,0.1,0.8,1.0,0.4,0.2,0.4,0.2,0.3,0.1,0.7,0.0,0.8
98,ENSG00000005471,0.7,7.2,0.2,2.4,0.2,0.9,0.5,0.1,0.2,0.3,0.1,1.0,0.4,0.2,0.6,0.6,0.2,0.8,6.4,0.3,0.3,0.6,119.4,0.2,5.8,0.3,0.4,0.1,0.0,0.2,0.1,0.5,1.1,0.4,0.6,0.4,7.2,1.4,2.1,0.3,0.2,4.9,0.6,1.0,0.7,0.5,4.6,5.0,1.2,0.5,0.0,0.0,0.1,0.8,0.8,0.1,0.1,0.2,0.6,1.9,0.6,1.4,0.7,0.0,0.3,0.3,0.7,0.3,0.0,0.7,0.1,1.4,0.4,2.8,0.3,0.1,0.1,9.0,0.5,3.1
121,ENSG00000006071,0.3,2.0,6.5,0.0,8.3,0.0,1.7,42.2,17.2,3.3,0.7,0.7,0.1,2.5,0.8,0.1,0.6,0.0,1.5,8.1,7.3,0.4,0.0,4.8,0.0,5.1,0.4,19.5,0.1,33.4,0.1,2.0,0.2,1.2,0.0,0.7,1.4,0.2,0.9,0.2,6.1,0.1,5.9,0.3,0.0,3.3,0.6,0.0,0.3,1.2,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.0,0.3,0.0,0.1,0.0,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.0,0.0,3.4
168,ENSG00000007171,0.7,0.5,0.9,14.2,0.8,0.0,0.3,0.9,3.4,0.3,0.4,6.5,11.4,0.2,0.0,0.7,0.3,0.3,0.4,0.7,0.5,1.5,0.1,1.7,0.6,0.5,0.5,0.2,0.0,1.3,0.5,0.5,8.5,0.2,0.1,0.1,0.6,0.2,20.2,1.6,0.4,0.1,0.1,1.2,0.2,0.3,0.5,0.1,3.4,0.2,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.3,0.0,0.5,0.0,0.1,0.0,0.6,0.0,0.1,2.6,0.0,0.1,2.7,0.0,0.1,1.1,0.0,0.7,0.0,0.0,0.8,0.6,0.3
